Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C10,C11,C12,C13,C14,C15,C16,C18,C3,C6,C7",C_0402_1005Metric,C1525,11
10k,"R17,R18,R19,R20",R_0402_1005Metric,C25744,4
10u,C5,C_0603_1608Metric,C19702,1
15k,R6,R_0603_1608Metric,C22809,1
1k,"R7,R8",R_0402_1005Metric,C11702,2
1u,"C8,C9",C_0402_1005Metric,C52923,2
2.2u 3A,L1,CMLW4030S2R2MST,C431273,1
30pF,"C1,C2",C_0603_1608Metric,C1658,2
33,"R3,R4",R_0402_1005Metric,C25105,2
4.7u,C4,C_0603_1608Metric,C19666,1
5.1k,"R1,R2",R_0402_1005Metric,C25905,2
68k,R5,R_0603_1608Metric,C23231,1
HC-TYPE-C-16P-01A-O,USB1,USB-C-SMD_G-SWITCH_GT-USB-7010EN,C2997434,1
PSRV05-4MR6T1G,D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2936987,1
QSFP28 38PIN 49091-01M311,U4,CONN-SMD_38P-P0.80_TE_1551920-2,C50159077,1
RESET,SW2,SW_SPST_PTS810,C470427,1
RP2040,U1,LQFN-56_L7.0-W7.0-P0.4-EP,C2040,1
SFP+,J1,SFP20P,C42418480,1
SMD-3225_4P12M20PF10PPM,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C133334,1
SMD0805B050TF,F1,F0805,C269104,1
TLV62569DBV,U3,SOT-23-5,C141836,1
USB_BOOT,SW1,SW_SPST_PTS810,C470427,1
W25Q16JVUXIQ,U2,USON-8_L3.0-W2.0-P0.50-BL-EP,C2843335,1
